task_id,task_content,status,doc_type,parent_task_id,primary_doc
SGK-2026-0001,SHIGOKU Documentation Hub,active,manual,,docs/shigoku/README.md
SGK-2026-0002,将来の機能拡張 (Future Functions),active,roadmap,,docs/shigoku/roadmaps/future_functions.md
SGK-2026-0003,📖 SHIGOKU ユーザーマニュアル（日本語版）,active,manual,SGK-2026-0101,docs/shigoku/manuals/MANUAL_JA.md
SGK-2026-0004,SHIGOKU アーキテクチャ Q&A (2025.12),active,manual,,docs/shigoku/manuals/QA.md
SGK-2026-0005,🚀 SHIGOKU クイックスタートガイド,active,manual,,docs/shigoku/manuals/QUICK_START.md
SGK-2026-0006,⚙️ SHIGOKU リファレンスガイド,active,manual,,docs/shigoku/manuals/REFERENCE.md
SGK-2026-0007,📘 SHIGOKU ユーザーマニュアル,active,manual,,docs/shigoku/manuals/USER_MANUAL.md
SGK-2026-0008,CLI-First Ops Plan (MCPなし),active,manual,,docs/shigoku/manuals/manual_legacy/cli_first_ops_plan.md
SGK-2026-0009,SHIGOKU Dashboard 機能マニュアル,active,manual,,docs/shigoku/manuals/manual_legacy/dashboard.md
SGK-2026-0010,MyMethod,active,manual,,docs/shigoku/manuals/MyMethod.md
SGK-2026-0011,コマンドラインツールの統合方法案,active,spec,,docs/shigoku/specs/TOOL_INTEGRATION_OPTIONS.md
SGK-2026-0012,ADR-0005: 強化版 FFUF (Enhanced Edition) の統合とAIエージェントへの最適化,active,spec,,docs/shigoku/specs/adr/0005-enhanced-ffuf-integration.md
SGK-2026-0013,ADR-001: エントリポイントの統一,active,spec,,docs/shigoku/specs/adr/001-entry-point-unification.md
SGK-2026-0014,ADR 0010: Enhanced IDOR Logic and Mass Assignment Testing,active,spec,,docs/shigoku/specs/adr/0010-enhanced-idor-logic.md
SGK-2026-0015,ADR-002: エージェントインターフェースの統一,active,spec,,docs/shigoku/specs/adr/002-agent-interface-protocol.md
SGK-2026-0016,ADR-003: 技術的負債解消 - FastAPI ブロッキング I/O と例外処理改善,active,spec,,docs/shigoku/specs/adr/003-tech-debt-fastapi-exception-handling.md
SGK-2026-0017,004. セキュリティと信頼性向上のためのバグ修正設計判断,active,spec,,docs/shigoku/specs/adr/004-bugfix-security-reliability-improvements.md
SGK-2026-0018,005. エンジン信頼性向上とコスト最適化,active,spec,,docs/shigoku/specs/adr/005-engine-reliability-and-cost-optimization.md
SGK-2026-0019,006. バグ修正と例外処理方針の改善,active,spec,,docs/shigoku/specs/adr/006-fix-critical-bugs-and-exception-handling.md
SGK-2026-0020,007. プロンプトモジュールのリネームとユーティリティパッケージの導入,active,spec,,docs/shigoku/specs/adr/007-prompts-rename-and-utils-package.md
SGK-2026-0021,ADR-008: Phase 1-3 技術的負債解消リファクタリング,active,spec,,docs/shigoku/specs/adr/008-phase1-3-technical-debt-resolution.md
SGK-2026-0022,ADR-009: 技術的負債解消（Phase 0-4 完了）,active,spec,,docs/shigoku/specs/adr/009-tech-debt-resolution-complete.md
SGK-2026-0023,ADR: エンドポイント承認キャッシュによるガードレール競合の解決,active,spec,,docs/shigoku/specs/adr/2026-02-27_RequestGuard_Implementation.md
SGK-2026-0024,HexStrike vs SHIGOKU 比較分析,done,work_report,,docs/shigoku/reports/analysis/hexstrike_analysis.md
SGK-2026-0026,Report Loop KPI Baseline (2026-05-11),done,work_report,,docs/shigoku/reports/analysis/report_loop_kpi_baseline_2026-05-11.md
SGK-2026-0027,Caido Integration & Tagging Filter 実装計画,active,spec,,docs/shigoku/specs/caido_integration.md
SGK-2026-0028,SHIGOKU MCP(Model Context Protocol) 導入検討ドキュメント,active,spec,,docs/shigoku/specs/design/mcp_integration_candidates.md
SGK-2026-0029,Reconnaissance Pipeline シナリオ設計書,active,spec,,docs/shigoku/specs/design/recon_scenario.md
SGK-2026-0030,Future Functions & Improvements,active,roadmap,,docs/shigoku/roadmaps/future_functions1.md
SGK-2026-0031,AuthNinja - 認証突破エージェント,active,spec,,docs/shigoku/specs/modules/AUTH_NINJA.md
SGK-2026-0032,AutoReporter - 脆弱性レポート自動生成エンジン,active,spec,,docs/shigoku/specs/modules/AUTO_REPORTER.md
SGK-2026-0033,BizLogicHunter - ビジネスロジック脆弱性検証エージェント,active,spec,,docs/shigoku/specs/modules/BIZ_LOGIC_HUNTER.md
SGK-2026-0034,Cartographer - サイトマッピングエンジン,active,spec,,docs/shigoku/specs/modules/CARTOGRAPHER.md
SGK-2026-0035,CommitWatcher - Git リポジトリ監視エージェント,active,spec,,docs/shigoku/specs/modules/COMMIT_WATCHER.md
SGK-2026-0036,EthicsGuard - 倫理ガードレールシステム,active,spec,,docs/shigoku/specs/modules/ETHICS_GUARD.md
SGK-2026-0037,Fingerprinter - 技術スタック識別エンジン,active,spec,,docs/shigoku/specs/modules/FINGERPRINTER.md
SGK-2026-0038,GAUIntegrator - GAU 統合モジュール,active,spec,,docs/shigoku/specs/modules/GAU_INTEGRATOR.md
SGK-2026-0039,HeadlessCrawler - Headless ブラウザ統合モジュール,active,spec,,docs/shigoku/specs/modules/HEADLESS_CRAWLER.md
SGK-2026-0040,KnowledgeGraph - Neo4j ナレッジグラフ連携モジュール,active,spec,,docs/shigoku/specs/modules/KNOWLEDGE_GRAPH.md
SGK-2026-0041,ProgressiveScanner - 段階的スキャンモジュール,active,spec,,docs/shigoku/specs/modules/PROGRESSIVE_SCANNER.md
SGK-2026-0042,ProxyLogAnalyzer - プロキシログ解析エンジン,active,spec,,docs/shigoku/specs/modules/PROXY_LOG_ANALYZER.md
SGK-2026-0043,RAGSystem - Obsidian RAG 統合モジュール,active,spec,,docs/shigoku/specs/modules/RAG_SYSTEM.md
SGK-2026-0044,URL Tagging Pipeline (URL タグ付けパイプライン),active,spec,,docs/shigoku/specs/modules/URL_TAGGING_PIPELINE.md
SGK-2026-0045,VisualFilter - 画像解析・ページ分類エンジン,active,spec,,docs/shigoku/specs/modules/VISUAL_FILTER.md
SGK-2026-0046,WordlistLearner - ワードリスト自動学習モジュール,active,spec,,docs/shigoku/specs/modules/WORDLIST_LEARNER.md
SGK-2026-0047,WordlistManager - ワードリスト管理モジュール,active,spec,,docs/shigoku/specs/modules/WORDLIST_MANAGER.md
SGK-2026-0048,Reconnaissance Pipeline シナリオ設計書,active,spec,,docs/shigoku/specs/recon_scenario.md
SGK-2026-0049,脆弱性機能実装仕様書,active,spec,,docs/shigoku/specs/standards/vulnerability_feature_implementation_spec.md
SGK-2026-0050,Report Loop CLI Optimization Implementation Plan,backlog,plan,,docs/shigoku/plans/superpowers/2026-05-11-report-loop-cli-optimization.md
SGK-2026-0051,Raw Confirmed Stability + IDOR/Endpoint Class Recovery Implementation Plan,backlog,plan,,docs/shigoku/plans/superpowers/2026-05-13-raw-confirmed-idor-endpoint.md
SGK-2026-0052,Auth Triple-Target Stability Execution Implementation Plan,backlog,plan,,docs/shigoku/plans/superpowers/2026-05-14-auth-triple-target-stability-execution-plan.md
SGK-2026-0053,2026-05-14 Auth Triple Target Stability Run Log,backlog,plan,,docs/shigoku/plans/superpowers/2026-05-14-auth-triple-target-stability-run-log.md
SGK-2026-0054,CRAPI + JuiceShop + DVWA 安定性プラン v3 (Auth-Aware / Anti-Curve-Fit),backlog,plan,,docs/shigoku/plans/superpowers/2026-05-14-crapi-juiceshop-dvwa-auth-stability-plan-v3.md
SGK-2026-0055,CRAPI Stability Plan v2 (Anti-Curve-Fit Revision),backlog,plan,,docs/shigoku/plans/superpowers/2026-05-14-crapi-stability-anti-curve-fit-plan-v2.md
SGK-2026-0056,Required Detection Class Hybrid Gate Implementation Plan,backlog,plan,,docs/shigoku/plans/superpowers/2026-05-14-required-class-hybrid-gate.md
SGK-2026-0057,Ver1 SCN08/10/12 Policy Lock Implementation Plan,backlog,plan,,docs/shigoku/plans/superpowers/2026-05-14-ver1-scn08-10-12-policy-lock.md
SGK-2026-0058,SSTI Detection Implementation Plan,done,plan,SGK-2026-0065,docs/shigoku/plans/2026-05-14_ssti_implementation_plan.md
SGK-2026-0059,A-2〜B-2 実装計画書,backlog,plan,,docs/shigoku/plans/2026-05-15_a2_b2_implementation_plan.md
SGK-2026-0060,A-3: CRLF 実実装 計画書,backlog,plan,,docs/shigoku/plans/2026-05-16_a3_crlf_implementation_plan.md
SGK-2026-0061,B-1: GraphQL Introspection 実装計画書（アップデート版）,backlog,plan,,docs/shigoku/plans/2026-05-16_b1_graphql_implementation_plan.md
SGK-2026-0062,B-1: GraphQL Introspection 実装計画書 v2.1（レビュー反映版）,backlog,plan,,docs/shigoku/plans/2026-05-16_b1_graphql_implementation_plan_v2.1.md
SGK-2026-0063,REPORT Outputs Reference,done,work_report,SGK-2026-0065,docs/shigoku/reports/REPORT_OUTPUTS.md
SGK-2026-0064,Bug Report (Placeholder),backlog,work_report,,docs/shigoku/reports/bug_report.md
SGK-2026-0065,SHIGOKU 実装ロードマップ,active,roadmap,SGK-2026-0101,docs/shigoku/roadmaps/IMPLEMENTATION_ROADMAP.md
SGK-2026-0066,SHIGOKU Bug Bounty Optimization Roadmap,active,roadmap,,docs/shigoku/roadmaps/bug_bounty_enhancements_2026.md
SGK-2026-0067,File Upload Vulnerability Scanner Roadmap,active,roadmap,,docs/shigoku/roadmaps/file_upload_vulnerability.md
SGK-2026-0068,bigRoadmap20260226,active,roadmap,,docs/shigoku/roadmaps/legacy_roadmap_dir/bigRoadmap20260226.md
SGK-2026-0069,Roadmap: Unified Caido & Modern Web Scan Strategy,active,roadmap,,docs/shigoku/roadmaps/legacy_roadmap_dir/caido_integration_roadmap.md
SGK-2026-0070,🗺️ SHIGOKU 統一ロードマップ — 最終確定版（外部フィードバック統合済み）,active,roadmap,SGK-2026-0101,docs/shigoku/roadmaps/shigoku_unified_roadmap_20260301.md
SGK-2026-0071,2026-01-26_OOB_Headless.md Implementation Spec,active,spec,,docs/shigoku/specs/2026-01-26_OOB_Headless.md
SGK-2026-0072,Proxy Integration & Error Replanning Spec,active,spec,,docs/shigoku/specs/2026-01-26_Proxy_ErrorHandling.md
SGK-2026-0073,仕様書: Phase 1.3 Proxy Integration Completion,active,spec,,docs/shigoku/specs/2026-01-26_Proxy_Integration_Complete.md
SGK-2026-0074,仕様書: Phase 2 Shared Workspace & Handoff Mechanism Integration,active,spec,,docs/shigoku/specs/2026-01-26_Shared_Workspace_and_Handoff.md
SGK-2026-0075,Phase 1.3 & 1.4: Infrastructure Integration Specification,active,spec,,docs/shigoku/specs/2026-01-26_phase1_infrastructure_integration.md
SGK-2026-0076,Specification: Project Integration & Dashboard Enhancements,active,spec,,docs/shigoku/specs/2026-01-30_project_integration.md
SGK-2026-0077,リアルタイム実行ダッシュボード仕様書,active,spec,,docs/shigoku/specs/2026-02-06_realtime_execution_dashboard.md
SGK-2026-0078,Phase 7: Tool Executor Agent & 環境最適化,active,spec,,docs/shigoku/specs/2026-02-08_RECIPE_EXECUTION_FIX.md
SGK-2026-0079,Phase 6: 検出最適化と運用品質向上,active,spec,,docs/shigoku/specs/2026-02-08_phase6_detection_observability.md
SGK-2026-0080,Specification: Fix File Storage & Findings Persistence,active,spec,,docs/shigoku/specs/2026-02-09_fix_storage_and_findings.md
SGK-2026-0081,Specification: Hybrid Intelligence Architecture Refactoring (Phase 8.1 - 8.2),active,spec,,docs/shigoku/specs/2026-02-09_hybrid_intelligence_arch.md
SGK-2026-0082,Phase 2: Hierarchical Manager Architecture Specification,active,spec,,docs/shigoku/specs/2026-02-11_PHASE2_MANAGER_ARCH.md
SGK-2026-0083,Phase 1: 足場固めと構造改革 (Swarm化 & 入力正規化) 仕様書,active,spec,,docs/shigoku/specs/2026-02-12_phase1_refactor.md
SGK-2026-0084,Specification: Phase 2 - 頭脳のアップグレード (Brain Upgrade),active,spec,,docs/shigoku/specs/2026-02-13_phase2_brain_upgrade.md
SGK-2026-0085,Phase 4 仕様書: 深層攻撃の実装 (Post-Exploitation & Flag Capture),active,spec,,docs/shigoku/specs/2026-02-13_phase4_post_exploit.md
SGK-2026-0086,Spec: データベース書き込み最適化 (Hybrid Batch Architecture),active,spec,,docs/shigoku/specs/2026-02-14_database_write_optimization.md
SGK-2026-0087,仕様書: Quality-First 攻撃成功強化フロー（crAPI起点・汎用運用）,active,spec,,docs/shigoku/specs/2026-04-22_quality_first_execution_spec.md
SGK-2026-0088,仕様書: crAPI起点で汎用性を維持する検出強化ロードマップ,active,spec,,docs/shigoku/specs/2026-04-29_generalizable_crapi_roadmap.md
